num,date,duration,name,note,link,media,mediaurl,credit,caption
0,1/2/2016,40,Occupation of the Malheur National Wildlife Refuge,"The 3 Percenters and several other armed militia organizations take over the headquarters of the United States Fish and Wildlife Service's Malheur National Wildlife Refuge in Harney County, Oregon, in a series of incidents stemming from the 2014 Bundy standoff. FBI ends the occupation with a shootout, killing one militiaman and arresting five others, including leader Ammon Bundy.",https://en.wikipedia.org/wiki/Occupation_of_the_Malheur_National_Wildlife_Refuge,img,Damage_at_Malheur_NWR_(25984008496).jpg,"By USFWS - Pacific Region - Damage at Malheur NWR, Public Domain, https://commons.wikimedia.org/w/index.php?curid=48585904",Damage at Malheur NWR
1,2/25/2016,1,Hesston shooting,"A disgruntled former employee opens fire in an office building in Hesston, Kansas, killing three people and injuring fourteen others.",https://en.wikipedia.org/wiki/Hesston_shooting,shooting,,,
2,3/11/2016,1,2016 Donald Trump Chicago rally protest,At least four people are injured and five are arrested in Chicago when protesters demonstrating against Donald Trump scuffle with Trump supporters at a canceled Trump rally.,https://en.wikipedia.org/wiki/2016_Donald_Trump_Chicago_rally_protest,img,"Trump_protest_Chicago_March_11,_2016.jpg","By nathanmac87 - https://www.flickr.com/photos/nathanmac87/25619534911/in/dateposted/, CC BY 2.0, https://commons.wikimedia.org/w/index.php?curid=47475490","Protest at Donald Trump Rally in Chicago on March 11, 2016"
3,4/22/2016,2,Pike County shootings,"Eight family members are shot to death at four locations in Pike County, Ohio. Three children survive the attacks.",https://en.wikipedia.org/wiki/Pike_County_shootings,shooting,,,
4,6/12/2016,1,Orlando nightclub shooting,"29-year-old Omar Mateen opens fire at Pulse, a gay dance club in Orlando, killing 49 people and leaving another 53 wounded. The attack surpassed the 2007 Virginia Tech shootings as the deadliest mass shooting in U.S. history until the 2017 Las Vegas shooting. The shooting is investigated as a domestic terrorist attack.",https://en.wikipedia.org/wiki/Orlando_nightclub_shooting,img,"Pulse_Nightclub,_March_2017.jpg","By Michael Rivera - Own work, CC BY-SA 4.0, https://commons.wikimedia.org/w/index.php?curid=58868613",The Pulse building with the memorial fence in March 2017
5,6/26/2016,1,2016 Sacramento riot,"Ten people are hospitalized, five with stab wounds, after a group of counter-protesters attack a white supremacist gathering in Sacramento, California.",https://en.wikipedia.org/wiki/2016_Sacramento_riot,img,Crowd_outside_California_State_Capitol_after_riot_anarchist_flag_debris.jpg,"By Robert Couse-Baker - https://www.flickr.com/photos/29233640@N07/27835374742/in/photolist-JpHz9b-JrSNYK-HBpeZy-HBpcTu-HBpbcd-HBpa2s-HzZhPL-J4CqLN-JkeTSo-JpBRr7-JsCpHc-HwAB1u-HwAAnW-JkfNC2-HZ3L8q-JfE5aj-JqPfUN-JsCpH2-HvhcJk-JmzXEb-HZ3L4Y-HZ3KWJ-JfE4Ys-HZ3KT7-JfE4UE-HZ3KLy-JfE4J9-HZ3KA3-JfE4B5-JpBzuM-JpBzgF-Htxsa6-JhUGgr-HtxrPr-HtxrAR-JhUG7i-JhUFUV-JmzWu5-JfE3PJ-HZ3Jpq-JhUFye-HZ3JjW-HZ3JcG-JodG6p-JdaQfy-HpuDiQ-JhxjtW-Jhxj4Y-HpzXrT-HpzX2e, CC BY 2.0, https://commons.wikimedia.org/w/index.php?curid=49785149",A crowd outside the California State Capitol after the riot. An anarchist flag is carried in the foreground. Debris lies on the plaza.
6,7/7/2016,2,2016 shooting of Dallas police officers,"During a peaceful Black Lives Matter protest in Dallas, Texas, a sniper later identified as Micah Xavier Johnson opens fire, killing five Dallas police officers and injuring another eleven people in the deadliest incident for U.S. law enforcement since September 11, 2001. Johnson is later found to have targeted white people (specifically white police officers) and to have been interested in several black nationalist groups. He is killed by a C-4 bomb delivered by a robot, the first use of lethal force by a robot by an American police department.",https://en.wikipedia.org/wiki/2016_shooting_of_Dallas_police_officers,img,2016_Dallas_police_shooting_memorial_service.jpg,"By The White House - facebook (s), Public Domain, https://commons.wikimedia.org/w/index.php?curid=50114235","""That’s what I take away from the lives of these outstanding men. The pain we feel may not soon pass, but my faith tells me that they did not die in vain. I believe our sorrow can make us a better country. I believe our righteous anger can be transformed into more justice and more peace. Weeping may endure for a night, but I’m convinced joy comes in the morning.” —President Obama at the memorial service for the fallen officers of the Dallas Police Department:"
7,8/10/2016,1,Killing of Tony Timpa,"Police in Dallas, Texas kill Tony Timpa, who suffered from schizophrenia and depression, after he asked for help. The police laughed as he asked for help 30 times while they pinned his shoulders, knees, and neck to the ground.",https://en.wikipedia.org/wiki/Dallas_Police_Department#Killing_of_Tony_Timpa,police,,,
8,9/17/2016,3,2016 New York and New Jersey bombings,"On September 17–19, 2016, three bombs exploded and several unexploded ones were found in the New York metropolitan area. The bombings left 31 people wounded, but no fatalities or life-threatening injuries were reported.",https://en.wikipedia.org/wiki/2016_New_York_and_New_Jersey_bombings,img,Police_after_2016_Manhattan_explosion.jpg,"By C. Mendoza/VOA - VOA http://www.voanews.com/a/loud-explosion-reported-manhattan-chelsea-neighborhood/3513981.html, Public Domain, https://commons.wikimedia.org/w/index.php?curid=51518047","A police officer instructs a civilian, as other police, fire and EMS crews work near the scene of the bomb explosion."
9,11/8/2016,2,2016 United States presidential election,"Donald Trump is elected as the 45th President of the United States and Mike Pence is elected the 48th Vice President, with Trump becoming the oldest man elected president at the age of 70 as well as the first president in history to take the office without any prior political or military experience. The win is considered one of the most shocking upsets in U.S. history, with most news outlets and experts considering a Trump victory unlikely. The result is also highly controversial due to Hillary Clinton's popular vote lead of nearly 3 million votes over Trump, who won via the Electoral College.",https://en.wikipedia.org/wiki/2016_United_States_presidential_election,img,"2016_presidential_election,_results_by_congressional_district_(popular_vote_margin).svg.jpg","Mr.Election & Ali Zifan, CC BY-SA 4.0 https://creativecommons.org/licenses/by-sa/4.0 , via Wikimedia Commons","Results of 2016 U.S. presidential election by congressional district, shaded by vote margin."
