category,year,month,people,timestamp,,,,,,,,,,
Background,2016,J,2545802,"January 1, 2016",,,,,,,,,,
Background,2016,F,2613074,"February 1, 2016",,,,,,,,,,
Background,2016,M,2523265,"March 1, 2016",,,,,,,,,,
Background,2016,A,2145865,"April 1, 2016",,,,,,,,,,
Background,2016,M,1870000,"May 1, 2016",,,,,,,,,,
Background,2016,J,2131485,"June 1, 2016",,,,,,,,,,
Background,2016,J,2197169,"July 1, 2016",,,,,,,,,,
Background,2016,A,1853815,"August 1, 2016",,,,,,,,,,
Background,2016,S,1992219,"September 1, 2016",,,,,,,,,,
Background,2016,O,2333539,"October 1, 2016",,,,,,,,,,
Background,2016,N,2561281,"November 1, 2016",,,,,,,,,,
Background,2016,D,2771159,"December 1, 2016",,,,,,,,,,
Background,2017,J,2043184,"January 1, 2017",,,,,,,,,,
Background,2017,F,2234817,"February 1, 2017",,,,,,,,,,
Background,2017,M,2433092,"March 1, 2017",,,,,,,,,,
Background,2017,A,2045564,"April 1, 2017",,,,,,,,,,
Background,2017,M,1942677,"May 1, 2017",,,,,,,,,,
Background,2017,J,1901768,"June 1, 2017",,,,,,,,,,
Background,2017,J,1742546,"July 1, 2017",,,,,,,,,,
Background,2017,A,1925146,"August 1, 2017",,,,,,,,,,
Background,2017,S,1967104,"September 1, 2017",,,,,,,,,,
Background,2017,O,2030391,"October 1, 2017",,,,,,,,,,
Background,2017,N,2382788,"November 1, 2017",,,,,,,,,,
Background,2017,D,2586138,"December 1, 2017",,,,,,,,,,
Background,2018,J,2030530,"January 3, 2018",,,,,,,,,,
Background,2018,F,2333193,"February 1, 2018",,,,,,,,,,
Background,2018,M,2767699,"March 1, 2018",,,,,,,,,,
Background,2018,A,2223213,"April 1, 2018",,,,,,,,,,
Background,2018,M,2002992,"May 1, 2018",,,,,,,,,,
Background,2018,J,1935691,"June 1, 2018",,,,,,,,,,
Background,2018,J,1835318,"July 1, 2018",,,,,,,,,,
Background,2018,A,2073296,"August 1, 2018",,,,,,,,,,
Background,2018,S,1956681,"September 1, 2018",,,,,,,,,,
Background,2018,O,2086895,"October 1, 2018",,,,,,,,,,
Background,2018,N,2393043,"November 1, 2018",,,,,,,,,,
Background,2018,D,2543385,"December 1, 2018",,,,,,,,,,
Background,2019,J,2165094,"January 1, 2019",,,,,,,,,,
Background,2019,F,2053886,"February 1, 2019",,,,,,,,,,
Background,2019,M,2644851,"March 1, 2019",,,,,,,,,,
Background,2019,A,2334249,"April 1, 2019",,,,,,,,,,
Background,2019,M,2349309,"May 1, 2019",,,,,,,,,,
Background,2019,J,2312309,"June 1, 2019",,,,,,,,,,
Background,2019,J,2030661,"July 1, 2019",,,,,,,,,,
Background,2019,A,2366824,"August 1, 2019",,,,,,,,,,
Background,2019,S,2207312,"September 1, 2019",,,,,,,,,,
Background,2019,O,2393609,"October 1, 2019",,,,,,,,,,
Background,2019,N,2574752,"November 1, 2019",,,,,,,,,,
Background,2019,D,2936894,"December 1, 2019",,,,,,,,,,
Background,2020,J,2702702,"January 1, 2020",,,,,,,,,,
Background,2020,F,2802467,"February 1, 2020",,,,,,,,,,
Background,2020,M,3740688,"March 1, 2020",,,,,,,,,,
Background,2020,A,2911128,"April 1, 2020",,,,,,,,,,
Background,2020,M,3091455,"May 1, 2020",,,,,,,,,,
Background,2020,J,3931607,"June 1, 2020",,,,,,,,,,
Background,2020,J,3639224,"July 1, 2020",,,,,,,,,,
Background,2020,A,3115063,"August 1, 2020",,,,,,,,,,
Background,2020,S,2892115,"September 1, 2020",,,,,,,,,,
Background,2020,O,3305465,"October 1, 2020",,,,,,,,,,
Background,2020,N,3626335,"November 1, 2020",,,,,,,,,,
Background,2020,D,3937066,"December 31, 2020",,,,,,,,,,
Background,2021,J,3000000,"January 31, 2021",,,,,,,,,,
Crime,2016,J,2426880,"January 1, 2016",,,,,,,,,,
Crime,2016,F,2266112,"February 1, 2016",,,,,,,,,,
Crime,2016,M,2321408,"March 1, 2016",,,,,,,,,,
Crime,2016,A,2344448,"April 1, 2016",,,,,,,,,,
Crime,2016,M,2327040,"May 1, 2016",,,,,,,,,,
Crime,2016,J,2341888,"June 1, 2016",,,,,,,,,,
Crime,2016,J,2346496,"July 1, 2016",,,,,,,,,,
Crime,2016,A,2448896,"August 1, 2016",,,,,,,,,,
Crime,2016,S,2542080,"September 1, 2016",,,,,,,,,,
Crime,2016,O,2643456,"October 1, 2016",,,,,,,,,,
Crime,2016,N,2584064,"November 1, 2016",,,,,,,,,,
Crime,2016,D,2533888,"December 1, 2016",,,,,,,,,,
Crime,2017,J,2188288,"January 1, 2017",,,,,,,,,,
Crime,2017,F,2318848,"February 1, 2017",,,,,,,,,,
Crime,2017,M,2623488,"March 1, 2017",,,,,,,,,,
Crime,2017,A,2529280,"April 1, 2017",,,,,,,,,,
